setting,role,seed,patients,relations,direct_patient_mean_mae_mm,relmeasure3d_patient_mean_mae_mm,direct_minus_relmeasure3d_mm,ci95_low_mm,ci95_high_mm,improvement_probability,relative_improvement_percent,wilcoxon_p,wilcoxon_holm_p_across_all_tests
tooth_ian,in_domain,20260821,50,356,1.730568365393177,1.3928297513120824,0.3377386140810947,0.15399473708227782,0.5023326075194121,0.9994,19.516051537459028,6.358623311442102e-06,6.994485642586312e-05
tooth_ian,in_domain,20260822,50,356,1.6903833004283524,1.2651874266477625,0.42519587378059,0.2982293921583598,0.5444916069159417,1.0,25.15381414811913,5.610267805877811e-11,9.537455269992279e-10
tooth_ian,in_domain,20260823,50,356,1.6941696306854963,1.268535803157304,0.4256338275281919,0.2673084943481233,0.5883271882096273,1.0,25.123448078571187,4.8571529021046445e-09,7.771444643367431e-08
tooth_sinus,in_domain,20260821,5,34,2.886146728595098,1.8120340639352797,1.074112664659818,-1.14398239950339,4.084957239031792,0.76295,37.21614892333171,0.625,1.0
tooth_sinus,in_domain,20260822,5,34,3.9289868873357774,1.5289167029162247,2.4000701844195524,-0.4587385712067286,7.459266313314439,0.7982,61.086235542186444,0.4375,1.0
tooth_sinus,in_domain,20260823,5,34,2.751126200358073,1.928539459705353,0.8225867406527202,0.12157441645860674,1.7284203628698986,1.0,29.900000245196182,0.0625,0.25
totalseg_pancreas_aorta,in_domain,20260821,48,48,4.437414554258187,1.9222531641523044,2.515161390105883,1.2219744741295775,3.81608810853213,1.0,56.68078470812039,0.00010967174707587901,0.000987045723682911
totalseg_pancreas_aorta,in_domain,20260822,48,48,4.245027797917525,2.0346452643473945,2.210382533570131,1.3459767589966456,3.0888062886893723,1.0,52.06991894504139,1.6876812481265598e-05,0.00016876812481265597
totalseg_pancreas_aorta,in_domain,20260823,48,48,3.890572297076384,2.068701190253099,1.8218711068232853,0.6036593091363709,2.950723323784768,0.99755,46.82784350755676,0.0006131978795855083,0.004292385157098558
amos_pancreas_aorta,in_domain,20260821,100,100,3.6204275381565094,2.0988598565757273,1.521567681580782,0.9625067417174579,2.060603072170168,1.0,42.02729278640807,4.810833685355619e-07,6.2540837909623055e-06
amos_pancreas_aorta,in_domain,20260822,100,100,3.630941425561905,1.9275935932578432,1.7033478323040618,1.1328023589521854,2.2707695203280998,1.0,46.912016269732604,8.628249618279228e-08,1.2698581916358174e-06
amos_pancreas_aorta,in_domain,20260823,100,100,3.7450757849216463,1.8251809577271343,1.919894827194512,1.2885101947821678,2.5575684906095257,1.0,51.26451205405125,8.465721277572117e-08,1.2698581916358174e-06
totalseg_to_amos,locked_transfer,20260821,100,100,3.5808227813243865,2.130181926488876,1.4506408548355103,0.9503633607327937,1.9676351673603052,1.0,40.51138365185956,4.828685188028949e-07,6.2540837909623055e-06
totalseg_to_amos,locked_transfer,20260822,100,100,3.9996578323841097,1.8578838050365447,2.1417740273475645,1.6715267299413683,2.6261606523394576,1.0,53.54893136123345,1.6137360271561114e-12,2.9047248488810005e-11
totalseg_to_amos,locked_transfer,20260823,100,100,3.2725642776489257,2.1288550305366516,1.143709247112274,0.6517429011464119,1.646085008233785,1.0,34.948412012060984,0.00014827253751372794,0.0011861803001098235
msd_tumour_vessel,degenerate_negative_control,20260821,30,30,2.3030468513568243,2.964958397543766,-0.6619115461869417,-1.5743954820731474,0.1024330528445036,0.0504,-28.740689569427605,0.685047073289752,1.0
msd_tumour_vessel,degenerate_negative_control,20260822,30,30,2.290767808755239,2.193884542599941,0.09688326615529756,0.014119545258969694,0.1747244924504775,0.9886,4.229292282919855,0.027741437777876854,0.16644862666726112
msd_tumour_vessel,degenerate_negative_control,20260823,30,30,2.287083506087462,2.0973378087670427,0.18974569732041952,0.017049326077709953,0.4341397641704315,0.98805,8.296404430156532,0.03098480962216854,0.16644862666726112
